study_accession	sample_id	sample_accession	replicate_id	run_accession	experiment_accession	ftp_R1	ftp_R2
PRJEB86111	GPRD1F	SAMEA117961191	GPRD1F_Rep3	ERR14791359	ERX14196146	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791359/GPRD1F_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791359/GPRD1F_Rep3.R2.fastq.gz
PRJEB86111	GRLLN6	SAMEA117961232	GRLLN6_Rep1	ERR14791402	ERX14196189	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791402/GRLLN6_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791402/GRLLN6_Rep1.R2.fastq.gz
PRJEB86111	GRLLN6	SAMEA117961232	GRLLN6_Rep2	ERR14791403	ERX14196190	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791403/GRLLN6_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791403/GRLLN6_Rep2.R2.fastq.gz
PRJEB86111	GRLLN6	SAMEA117961232	GRLLN6_Rep3	ERR14791404	ERX14196191	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791404/GRLLN6_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791404/GRLLN6_Rep3.R2.fastq.gz
PRJEB86111	GRS8LA	SAMEA117961212	GRS8LA_Rep1	ERR14791360	ERX14196147	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791360/GRS8LA_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791360/GRS8LA_Rep1.R2.fastq.gz
PRJEB86111	GRS8LA	SAMEA117961212	GRS8LA_Rep2	ERR14791361	ERX14196148	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791361/GRS8LA_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791361/GRS8LA_Rep2.R2.fastq.gz
PRJEB86111	GRS8LA	SAMEA117961212	GRS8LA_Rep3	ERR14791362	ERX14196149	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791362/GRS8LA_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791362/GRS8LA_Rep3.R2.fastq.gz
PRJEB86111	GRSA2D	SAMEA117961218	GRSA2D_Rep1	ERR14791363	ERX14196150	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791363/GRSA2D_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791363/GRSA2D_Rep1.R2.fastq.gz
PRJEB86111	GRSA2D	SAMEA117961218	GRSA2D_Rep2	ERR14791364	ERX14196151	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791364/GRSA2D_Rep2.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791364/GRSA2D_Rep2.R2.fastq.gz
PRJEB86111	GRSA2D	SAMEA117961218	GRSA2D_Rep3	ERR14791365	ERX14196152	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791365/GRSA2D_Rep3.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791365/GRSA2D_Rep3.R2.fastq.gz
PRJEB86111	GSP5ZP	SAMEA117961233	GSP5ZP_Rep1	ERR14791405	ERX14196192	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791405/GSP5ZP_Rep1.R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR147/ERR14791405/GSP5ZP_Rep1.R2.fastq.gz
